id_mutation,date_mutation,code_type_local,code_commune,surface_terrain,surface_reelle_bati,nombre_pieces_principales,nature_culture,valeur_fonciere,latitude,longitude,nombre_lots,numero_disposition,code_departement,Nombre_unite,Nombre_dependance,Year,num_trimestre,quarter,geometry,index_right,epci_name,iris_code,iris_name,iris_name_l,Prix_m2,Month,Pris_m2_moy_iris,std,Vente_par_iris,Vente_par_iris_tri,N_logements,N_res_ppale,N_res_second,N_vacant,N_maisons,N_apparts,N_proprietaire,N_locataire,DISP_MED19,Ec_maternelle,Ec_elementaire,P19_LOG,P19_RP_SDB,P19_RP_CCCOLL,P19_RP_CCIND,P19_RP_CINDELEC,UU2020,COM,TRIRIS,GRD_QUART,TYP_IRIS,P19_POP1564,P19_POP1524,P19_POP2554,P19_POP5564,P19_ACT1564,P19_CHOM1564,P19_INACT1564,Part_dactifs,Part_chomeurs,Arrondissement,dist_metro
2019-995559,2019-03-01,1.0,69389,149.0,95.0,4.0,solssols,375800.0,45.772582,4.799028,0,1,69,1,1,2019,1,2019_Q1,POINT (4.799028 45.772582),14464,['M̩tropole de Lyon'],693890403,Le B̩al-Gorge de Lou,le b̩al-gorge de loup,3955.7894736842104,3,3257.872103992457,1020.3529778651442,231,14,2093.0,1838.0,51.0,204.0,112.0,1963.0,579.0,1244.0,19790,1,1,2094.49904537125,1638.539607232,583.96265050144,645.979069581414,595.275469845991,00760,69389,691161,6938904,H,2428.01892339362,537.129556039766,1488.32720476723,402.562162586622,1739.71936997693,290.450894959128,688.299553416688,0.7165180440790553,0.11962464219725578,69389,505.69292799871204
2019-999067,2019-08-08,1.0,69389,290.0,81.0,4.0,sols,390000.0,45.771907,4.798328,0,1,69,1,0,2019,3,2019_Q3,POINT (4.798328 45.771907),14464,['M̩tropole de Lyon'],693890403,Le B̩al-Gorge de Lou,le b̩al-gorge de loup,4814.814814814815,8,4145.752193279354,1092.6299350365273,231,14,2093.0,1838.0,51.0,204.0,112.0,1963.0,579.0,1244.0,19790,1,1,2094.49904537125,1638.539607232,583.96265050144,645.979069581414,595.275469845991,00760,69389,691161,6938904,H,2428.01892339362,537.129556039766,1488.32720476723,402.562162586622,1739.71936997693,290.450894959128,688.299553416688,0.7165180440790553,0.11962464219725578,69389,581.8252842696488
2021-1057916,2021-05-27,1.0,69389,0.0,60.0,3.0,0,269100.0,45.769375,4.797294,1,1,69,1,1,2021,2,2021_Q2,POINT (4.797294 45.769375),14464,['M̩tropole de Lyon'],693890403,Le B̩al-Gorge de Lou,le b̩al-gorge de loup,4485.0,5,4569.105699177349,932.843681448528,231,10,2093.0,1838.0,51.0,204.0,112.0,1963.0,579.0,1244.0,19790,1,1,2094.49904537125,1638.539607232,583.96265050144,645.979069581414,595.275469845991,00760,69389,691161,6938904,H,2428.01892339362,537.129556039766,1488.32720476723,402.562162586622,1739.71936997693,290.450894959128,688.299553416688,0.7165180440790553,0.11962464219725578,69389,674.6537942622602
2021-1059610,2021-07-30,1.0,69389,325.0,130.0,5.0,sols,620000.0,45.772974,4.799305,0,1,69,1,0,2021,3,2021_Q3,POINT (4.799305 45.772974),14464,['M̩tropole de Lyon'],693890403,Le B̩al-Gorge de Lou,le b̩al-gorge de loup,4769.2307692307695,7,4625.3790994990195,807.049479716082,231,14,2093.0,1838.0,51.0,204.0,112.0,1963.0,579.0,1244.0,19790,1,1,2094.49904537125,1638.539607232,583.96265050144,645.979069581414,595.275469845991,00760,69389,691161,6938904,H,2428.01892339362,537.129556039766,1488.32720476723,402.562162586622,1739.71936997693,290.450894959128,688.299553416688,0.7165180440790553,0.11962464219725578,69389,474.0657194279267
2022-321440,2022-02-11,1.0,69384,179.0,100.0,3.0,sols,720000.0,45.776234,4.831498,0,1,69,1,0,2022,1,2022_Q1,POINT (4.831498 45.776234),47094,['M̩tropole de Lyon'],693840204,Cuire Canut,cuire canuts,7200.0,2,6532.721516637656,1396.5418687494541,154,13,1792.0,1554.0,53.0,185.0,26.0,1716.0,505.0,1036.0,24990,0,2,1790.99186032575,1511.51368206676,439.839399659878,669.411524807311,441.734055466878,00760,69384,690851,6938402,H,1971.57270429166,359.85541181171,1309.0269963838,302.690296096149,1568.72940666662,183.993467475366,402.84329762504,0.7956741352991229,0.09332319679353167,69384,437.2974183410422
2019-996574,2019-04-25,1.0,69389,61.0,98.0,4.0,sols,280000.0,45.777118,4.805507,0,1,69,1,0,2019,2,2019_Q2,POINT (4.805507 45.777118),30783,['M̩tropole de Lyon'],693890301,Salengr,salengro,2857.1428571428573,4,2997.510250816593,1468.4519288531908,278,6,2779.0,2254.0,253.0,272.0,11.0,2719.0,457.0,1768.0,22090,0,1,2759.49881747394,2169.43335681474,334.427822750447,1027.45362655977,896.927616489283,00760,69389,691151,6938903,H,3199.80606888908,999.554381723928,2006.39062007006,193.86106709509,2420.31648291172,314.213437955964,779.489585977359,0.756394741057546,0.09819765047981603,69389,214.4105713098973
2021-1061802,2021-11-10,1.0,69389,193.0,64.0,4.0,sols,257000.0,45.767322,4.813009,1,1,69,1,0,2021,4,2021_Q4,POINT (4.813009 45.767322),17651,['M̩tropole de Lyon'],693890402,Arloing-l'Observanc,arloing-l'observance,4015.625,11,4017.7905474866398,1059.6758648589937,209,7,1467.0,1282.0,70.0,115.0,59.0,1408.0,645.0,591.0,25700,1,1,1474.49932710279,1226.18682166408,540.820844455616,415.188737198941,319.384680214404,00760,69389,691161,6938904,H,1800.49081272315,339.436146256955,1173.87614880325,287.178517662944,1363.95066240877,145.730879163685,436.54015031438,0.7575438057058812,0.08093952945156911,69389,584.535022033423
2019-1000880,2019-10-25,1.0,69384,88.0,100.0,5.0,sols,350000.0,45.774821,4.828314,0,1,69,1,0,2019,4,2019_Q4,POINT (4.828314 45.774821),34606,['M̩tropole de Lyon'],693840303,Mairie-Tabarea,mairie-tabareau,3500.0,10,4844.548370644503,1743.817110951368,162,14,1622.0,1418.0,35.0,169.0,6.0,1616.0,504.0,887.0,26420,1,1,1621.49257749379,1365.22064600732,95.3695197618758,867.272822783281,407.797914689593,00760,69384,690861,6938403,H,1849.49750320821,370.285518502922,1198.12586165801,281.086123047279,1483.38702701135,223.588574954821,366.110476196865,0.8020486777831327,0.12089152570737491,69384,291.92520951000296
2019-996342,2019-04-08,1.0,69384,0.0,141.0,5.0,0,906550.0,45.774983,4.826975,1,1,69,1,0,2019,2,2019_Q2,POINT (4.826975 45.774983),34606,['M̩tropole de Lyon'],693840303,Mairie-Tabarea,mairie-tabareau,6429.432624113475,4,5226.096088421186,1577.5501305846008,162,9,1622.0,1418.0,35.0,169.0,6.0,1616.0,504.0,887.0,26420,1,1,1621.49257749379,1365.22064600732,95.3695197618758,867.272822783281,407.797914689593,00760,69384,690861,6938403,H,1849.49750320821,370.285518502922,1198.12586165801,281.086123047279,1483.38702701135,223.588574954821,366.110476196865,0.8020486777831327,0.12089152570737491,69384,397.30616177560063
2020-951262,2020-01-29,1.0,69384,0.0,68.0,3.0,0,385000.0,45.775494,4.828419,1,1,69,1,0,2020,1,2020_Q1,POINT (4.828419 45.775494),34606,['M̩tropole de Lyon'],693840303,Mairie-Tabarea,mairie-tabareau,5661.764705882353,1,5357.359488226185,728.1601281898771,162,8,1622.0,1418.0,35.0,169.0,6.0,1616.0,504.0,887.0,26420,1,1,1621.49257749379,1365.22064600732,95.3695197618758,867.272822783281,407.797914689593,00760,69384,690861,6938403,H,1849.49750320821,370.285518502922,1198.12586165801,281.086123047279,1483.38702701135,223.588574954821,366.110476196865,0.8020486777831327,0.12089152570737491,69384,303.45967632400925
